Date,Open,High,Low,Close,Adj Close,Volume
2004-06-14,0.875000,0.925000,0.790000,0.805000,0.725081,2800872500
2004-06-21,0.820000,0.910000,0.790000,0.880000,0.792635,668842500
2004-06-28,0.880000,0.885000,0.835000,0.870000,0.783628,275352500
2004-07-05,0.875000,0.890000,0.805000,0.815000,0.734088,295445000
2004-07-12,0.815000,0.825000,0.710000,0.740000,0.666534,289937500
2004-07-19,0.740000,0.775000,0.700000,0.705000,0.635009,188755000
2004-07-26,0.690000,0.775000,0.675000,0.770000,0.693556,215565000
2004-08-02,0.770000,0.810000,0.740000,0.800000,0.720577,160295000
2004-08-09,0.800000,0.810000,0.725000,0.750000,0.675541,107105000
2004-08-16,0.740000,0.760000,0.720000,0.745000,0.671038,58347500
2004-08-23,0.750000,0.750000,0.675000,0.700000,0.630505,142740000
2004-08-30,0.700000,0.735000,0.695000,0.715000,0.644016,57035000
2004-09-06,0.720000,0.755000,0.715000,0.740000,0.666534,67610000
2004-09-13,0.725000,0.785000,0.690000,0.775000,0.698059,209070000
2004-09-20,0.775000,0.795000,0.755000,0.760000,0.684548,70375000
2004-09-27,0.760000,0.765000,0.750000,0.760000,0.684548,33545000
2004-10-04,0.760000,0.880000,0.760000,0.855000,0.770117,332220250
2004-10-11,0.855000,0.915000,0.855000,0.905000,0.815153,227072900
2004-10-18,0.905000,0.935000,0.855000,0.860000,0.774621,86320000
2004-10-25,0.860000,0.960000,0.825000,0.920000,0.828664,218855000
2004-11-01,0.910000,0.960000,0.885000,0.900000,0.810649,120885000
2004-11-08,0.900000,0.935000,0.890000,0.925000,0.833167,91555000
2004-11-15,0.925000,1.050000,0.915000,0.985000,0.887211,456360000
2004-11-22,0.985000,1.110000,0.975000,1.090000,0.981786,219295000
2004-11-29,1.100000,1.270000,1.100000,1.170000,1.053844,166310000
2004-12-06,1.180000,1.200000,1.080000,1.110000,0.999801,123720000
2004-12-13,1.140000,1.170000,1.100000,1.110000,0.999801,123730000
2004-12-20,1.110000,1.130000,0.935000,0.995000,0.896218,318165000
2004-12-27,0.995000,0.995000,0.925000,0.925000,0.833167,148035000
2005-01-03,0.940000,0.960000,0.925000,0.940000,0.846678,252054000
2005-01-10,0.950000,0.995000,0.925000,0.950000,0.855685,151995000
2005-01-17,0.950000,0.955000,0.855000,0.865000,0.779124,127080000
2005-01-24,0.860000,0.915000,0.855000,0.905000,0.815153,123390000
2005-01-31,0.900000,1.040000,0.890000,1.000000,0.900722,184318000
2005-02-07,1.020000,1.020000,0.950000,0.965000,0.869196,47155000
2005-02-14,0.975000,1.000000,0.960000,0.985000,0.887211,81364260
2005-02-21,0.990000,1.080000,0.990000,1.060000,0.954765,311612000
2005-02-28,1.060000,1.070000,0.995000,1.040000,0.936751,73593000
